+---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
; Legal Partition Candidates                                                                                                                                                                                                                                                                                                                                    ;
+----------------------------------------------------------------------------------------------------------------------------------------------------------+-------+----------------+--------------+----------------+--------+-----------------+---------------+-----------------+-------+----------------+--------------+------------------+-------------------+
; Hierarchy                                                                                                                                                ; Input ; Constant Input ; Unused Input ; Floating Input ; Output ; Constant Output ; Unused Output ; Floating Output ; Bidir ; Constant Bidir ; Unused Bidir ; Input only Bidir ; Output only Bidir ;
; nios_lcd_camera_component_0_camera_translator_avalon_universal_slave_0_agent_rsp_fifo                                                                    ; 140   ; 39             ; 0            ; 39             ; 99     ; 39              ; 39            ; 39              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; nios_lcd_camera_component_0_camera_translator_avalon_universal_slave_0_agent|uncompressor                                                                ; 37    ; 1              ; 0            ; 1              ; 35     ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; nios_lcd_camera_component_0_camera_translator_avalon_universal_slave_0_agent                                                                             ; 279   ; 38             ; 49           ; 38             ; 295    ; 38              ; 38            ; 38              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; nios_lcd_camera_component_0_console_translator_avalon_universal_slave_0_agent_rsp_fifo                                                                   ; 140   ; 39             ; 0            ; 39             ; 99     ; 39              ; 39            ; 39              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; nios_lcd_camera_component_0_console_translator_avalon_universal_slave_0_agent|uncompressor                                                               ; 37    ; 1              ; 0            ; 1              ; 35     ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; nios_lcd_camera_component_0_console_translator_avalon_universal_slave_0_agent                                                                            ; 279   ; 38             ; 49           ; 38             ; 295    ; 38              ; 38            ; 38              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; nios_lcd_camera_component_0_imageline_translator_avalon_universal_slave_0_agent_rsp_fifo                                                                 ; 140   ; 39             ; 0            ; 39             ; 99     ; 39              ; 39            ; 39              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; nios_lcd_camera_component_0_imageline_translator_avalon_universal_slave_0_agent|uncompressor                                                             ; 37    ; 1              ; 0            ; 1              ; 35     ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; nios_lcd_camera_component_0_imageline_translator_avalon_universal_slave_0_agent                                                                          ; 279   ; 38             ; 49           ; 38             ; 295    ; 38              ; 38            ; 38              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; sram_0_avalon_sram_slave_translator_avalon_universal_slave_0_agent_rsp_fifo                                                                              ; 122   ; 39             ; 0            ; 39             ; 81     ; 39              ; 39            ; 39              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; sram_0_avalon_sram_slave_translator_avalon_universal_slave_0_agent|uncompressor                                                                          ; 37    ; 1              ; 0            ; 1              ; 35     ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; sram_0_avalon_sram_slave_translator_avalon_universal_slave_0_agent                                                                                       ; 211   ; 21             ; 33           ; 21             ; 224    ; 21              ; 21            ; 21              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; cpu_0_jtag_debug_module_translator_avalon_universal_slave_0_agent_rsp_fifo                                                                               ; 140   ; 39             ; 0            ; 39             ; 99     ; 39              ; 39            ; 39              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; cpu_0_jtag_debug_module_translator_avalon_universal_slave_0_agent|uncompressor                                                                           ; 37    ; 1              ; 0            ; 1              ; 35     ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; cpu_0_jtag_debug_module_translator_avalon_universal_slave_0_agent                                                                                        ; 279   ; 38             ; 49           ; 38             ; 295    ; 38              ; 38            ; 38              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; cpu_0_data_master_translator_avalon_universal_master_0_agent                                                                                             ; 176   ; 34             ; 80           ; 34             ; 132    ; 34              ; 34            ; 34              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; cpu_0_instruction_master_translator_avalon_universal_master_0_agent                                                                                      ; 176   ; 34             ; 80           ; 34             ; 132    ; 34              ; 34            ; 34              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; sd_card_0_avalon_sdcard_slave_translator                                                                                                                 ; 101   ; 2              ; 13           ; 2              ; 81     ; 2               ; 2             ; 2               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; jtag_uart_0_avalon_jtag_slave_translator                                                                                                                 ; 101   ; 2              ; 23           ; 2              ; 70     ; 2               ; 2             ; 2               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; switch_i_s1_translator                                                                                                                                   ; 101   ; 3              ; 22           ; 3              ; 36     ; 3               ; 3             ; 3               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; push_button_i_s1_translator                                                                                                                              ; 101   ; 3              ; 22           ; 3              ; 70     ; 3               ; 3             ; 3               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; led_red_o_s1_translator                                                                                                                                  ; 101   ; 3              ; 22           ; 3              ; 70     ; 3               ; 3             ; 3               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; led_green_o_s1_translator                                                                                                                                ; 101   ; 3              ; 22           ; 3              ; 70     ; 3               ; 3             ; 3               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; nios_lcd_camera_component_0_touchpanel_translator                                                                                                        ; 101   ; 3              ; 17           ; 3              ; 73     ; 3               ; 3             ; 3               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; nios_lcd_camera_component_0_camera_translator                                                                                                            ; 101   ; 3              ; 17           ; 3              ; 73     ; 3               ; 3             ; 3               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; nios_lcd_camera_component_0_console_translator                                                                                                           ; 101   ; 3              ; 10           ; 3              ; 80     ; 3               ; 3             ; 3               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; nios_lcd_camera_component_0_imageline_translator                                                                                                         ; 101   ; 2              ; 10           ; 2              ; 80     ; 2               ; 2             ; 2               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; sram_0_avalon_sram_slave_translator                                                                                                                      ; 66    ; 2              ; 3            ; 2              ; 56     ; 2               ; 2             ; 2               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; cpu_0_jtag_debug_module_translator                                                                                                                       ; 101   ; 3              ; 12           ; 3              ; 83     ; 3               ; 3             ; 3               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; cpu_0_data_master_translator                                                                                                                             ; 102   ; 9              ; 0            ; 9              ; 97     ; 9               ; 9             ; 9               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; cpu_0_instruction_master_translator                                                                                                                      ; 102   ; 48             ; 0            ; 48             ; 97     ; 48              ; 48            ; 48              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; sd_card_0|SD_Card_Port|data_line|packet_memory|altsyncram_component|auto_generated                                                                       ; 43    ; 0              ; 0            ; 0              ; 17     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; sd_card_0|SD_Card_Port|data_line|packet_memory                                                                                                           ; 43    ; 1              ; 0            ; 1              ; 17     ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; sd_card_0|SD_Card_Port|data_line|crc16_checker                                                                                                           ; 6     ; 0              ; 0            ; 0              ; 17     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; sd_card_0|SD_Card_Port|data_line                                                                                                                         ; 32    ; 0              ; 0            ; 0              ; 21     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; sd_card_0|SD_Card_Port|SD_clock_pulse_trigger                                                                                                            ; 3     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; sd_card_0|SD_Card_Port|clock_generator                                                                                                                   ; 4     ; 0              ; 0            ; 0              ; 4      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; sd_card_0|SD_Card_Port|control_FSM                                                                                                                       ; 13    ; 0              ; 0            ; 0              ; 13     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; sd_card_0|SD_Card_Port|response_receiver|crc_checker                                                                                                     ; 5     ; 1              ; 0            ; 1              ; 8      ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; sd_card_0|SD_Card_Port|response_receiver                                                                                                                 ; 9     ; 0              ; 0            ; 0              ; 131    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; sd_card_0|SD_Card_Port|command_generator|CRC7_Gen                                                                                                        ; 5     ; 7              ; 0            ; 7              ; 8      ; 7               ; 7             ; 7               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; sd_card_0|SD_Card_Port|command_generator                                                                                                                 ; 110   ; 16             ; 0            ; 16             ; 15     ; 16              ; 16            ; 16              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; sd_card_0|SD_Card_Port                                                                                                                                   ; 67    ; 0              ; 0            ; 0              ; 391    ; 0               ; 0             ; 0               ; 3     ; 0              ; 0            ; 0                ; 0                 ;
; sd_card_0                                                                                                                                                ; 49    ; 0              ; 0            ; 0              ; 34     ; 0               ; 0             ; 0               ; 3     ; 0              ; 0            ; 0                ; 0                 ;
; nios_lcd_camera_component_0|Nios_Imageline_unit                                                                                                          ; 83    ; 0              ; 0            ; 0              ; 104    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; nios_lcd_camera_component_0|u7|read_fifo2|dcfifo_component|auto_generated|wrfull_eq_comp                                                                 ; 20    ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; nios_lcd_camera_component_0|u7|read_fifo2|dcfifo_component|auto_generated|rdempty_eq_comp                                                                ; 20    ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; nios_lcd_camera_component_0|u7|read_fifo2|dcfifo_component|auto_generated|ws_dgrp|dffpipe22                                                              ; 12    ; 0              ; 0            ; 0              ; 10     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; nios_lcd_camera_component_0|u7|read_fifo2|dcfifo_component|auto_generated|ws_dgrp                                                                        ; 12    ; 0              ; 0            ; 0              ; 10     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; nios_lcd_camera_component_0|u7|read_fifo2|dcfifo_component|auto_generated|ws_bwp                                                                         ; 12    ; 0              ; 0            ; 0              ; 10     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
